month,year,state,mw,tipmw
1,2009,11,7.25,3.63
2,2009,11,7.25,3.63
3,2009,11,7.25,3.63
4,2009,11,7.25,3.63
5,2009,11,7.25,3.63
6,2009,11,7.25,3.63
7,2009,11,7.25,3.63
8,2009,11,7.25,3.63
9,2009,11,7.25,3.63
10,2009,11,7.50,3.75
11,2009,11,7.50,3.75
12,2009,11,7.50,3.75
1,2010,11,7.50,3.75
2,2010,11,7.50,3.75
3,2010,11,7.50,3.75
4,2010,11,7.50,3.75
5,2010,11,7.50,3.75
6,2010,11,7.50,3.75
7,2010,11,7.50,3.75
8,2010,11,7.50,3.75
9,2010,11,7.50,3.75
10,2010,11,7.50,3.75
11,2010,11,7.50,3.75
12,2010,11,7.50,3.75
1,2011,11,7.50,3.75
2,2011,11,7.50,3.75
3,2011,11,7.50,3.75
4,2011,11,7.50,3.75
5,2011,11,7.50,3.75
6,2011,11,7.50,3.75
7,2011,11,7.50,3.75
8,2011,11,7.50,3.75
9,2011,11,7.50,3.75
10,2011,11,7.50,3.75
11,2011,11,7.50,3.75
12,2011,11,7.50,3.75
1,2012,11,7.50,3.75
2,2012,11,7.50,3.75
3,2012,11,7.50,3.75
4,2012,11,7.50,3.75
5,2012,11,7.50,3.75
6,2012,11,7.50,3.75
7,2012,11,7.50,3.75
8,2012,11,7.50,3.75
9,2012,11,7.50,3.75
10,2012,11,7.50,3.75
11,2012,11,7.50,3.75
12,2012,11,7.50,3.75
1,2013,11,7.50,3.75
2,2013,11,7.50,3.75
3,2013,11,7.50,3.75
4,2013,11,7.50,3.75
5,2013,11,7.50,3.75
6,2013,11,7.50,3.75
7,2013,11,7.50,3.75
8,2013,11,7.50,3.75
9,2013,11,7.50,3.75
10,2013,11,7.50,3.75
11,2013,11,7.50,3.75
12,2013,11,7.50,3.75
1,2014,11,7.50,3.75
2,2014,11,7.50,3.75
3,2014,11,7.50,3.75
4,2014,11,7.50,3.75
5,2014,11,7.50,3.75
6,2014,11,7.50,3.75
7,2014,11,7.50,3.75
8,2014,11,7.50,3.75
9,2014,11,7.50,3.75
10,2014,11,7.50,3.75
11,2014,11,7.50,3.75
12,2014,11,7.50,3.75
1,2015,11,7.50,3.75
2,2015,11,7.50,3.75
3,2015,11,7.50,3.75
4,2015,11,7.50,3.75
5,2015,11,7.50,3.75
6,2015,11,7.50,3.75
7,2015,11,7.50,3.75
8,2015,11,7.50,3.75
9,2015,11,7.50,3.75
10,2015,11,7.50,3.75
11,2015,11,7.50,3.75
12,2015,11,7.50,3.75
1,2016,11,7.50,3.75
2,2016,11,7.50,3.75
3,2016,11,7.50,3.75
4,2016,11,7.50,3.75
5,2016,11,7.50,3.75
6,2016,11,7.50,3.75
7,2016,11,7.50,3.75
8,2016,11,7.50,3.75
9,2016,11,7.50,3.75
10,2016,11,7.50,3.75
11,2016,11,7.50,3.75
12,2016,11,7.50,3.75
1,2017,11,9.00,5.00
2,2017,11,9.00,5.00
3,2017,11,9.00,5.00
4,2017,11,9.00,5.00
5,2017,11,9.00,5.00
6,2017,11,9.00,5.00
7,2017,11,9.00,5.00
8,2017,11,9.00,5.00
9,2017,11,9.00,5.00
10,2017,11,9.00,5.00
11,2017,11,9.00,5.00
12,2017,11,9.00,5.00
1,2018,11,10.00,5.00
2,2018,11,10.00,5.00
3,2018,11,10.00,5.00
4,2018,11,10.00,5.00
5,2018,11,10.00,5.00
6,2018,11,10.00,5.00
7,2018,11,10.00,5.00
8,2018,11,10.00,5.00
9,2018,11,10.00,5.00
10,2018,11,10.00,5.00
11,2018,11,10.00,5.00
12,2018,11,10.00,5.00
1,2019,11,11.00,5.50
2,2019,11,11.00,5.50
3,2019,11,11.00,5.50
4,2019,11,11.00,5.50
5,2019,11,11.00,5.50
6,2019,11,11.00,5.50
7,2019,11,11.00,5.50
8,2019,11,11.00,5.50
9,2019,11,11.00,5.50
10,2019,11,11.00,5.50
11,2019,11,11.00,5.50
12,2019,11,11.00,5.50
1,2020,11,12.00,6.00
2,2020,11,12.00,6.00
3,2020,11,12.00,6.00
4,2020,11,12.00,6.00
5,2020,11,12.00,6.00
6,2020,11,12.00,6.00
7,2020,11,12.00,6.00
8,2020,11,12.00,6.00
9,2020,11,12.00,6.00
10,2020,11,12.00,6.00
11,2020,11,12.00,6.00
12,2020,11,12.00,6.00
1,2021,11,12.30,6.15
2,2021,11,12.30,6.15
3,2021,11,12.30,6.15
4,2021,11,12.30,6.15
5,2021,11,12.30,6.15
6,2021,11,12.30,6.15
7,2021,11,12.30,6.15
8,2021,11,12.30,6.15
9,2021,11,12.30,6.15
10,2021,11,12.30,6.15
11,2021,11,12.30,6.15
12,2021,11,12.30,6.15
1,2022,11,12.60,6.30
2,2022,11,12.60,6.30
3,2022,11,12.60,6.30
4,2022,11,12.60,6.30
5,2022,11,12.60,6.30
6,2022,11,12.60,6.30
7,2022,11,12.60,6.30
8,2022,11,12.60,6.30
9,2022,11,12.60,6.30
10,2022,11,12.60,6.30
11,2022,11,12.60,6.30
12,2022,11,12.60,6.30
1,2023,11,12.90,6.45
2,2023,11,12.90,6.45
3,2023,11,12.90,6.45
4,2023,11,12.90,6.45
5,2023,11,12.90,6.45
6,2023,11,12.90,6.45
7,2023,11,12.90,6.45
8,2023,11,12.90,6.45
9,2023,11,12.90,6.45
10,2023,11,12.90,6.45
11,2023,11,12.90,6.45
12,2023,11,12.90,6.45
1,2024,11,13.20,6.60
2,2024,11,13.20,6.60
3,2024,11,13.20,6.60
4,2024,11,13.20,6.60
5,2024,11,13.20,6.60
6,2024,11,13.20,6.60
7,2024,11,13.20,6.60
8,2024,11,13.20,6.60
9,2024,11,13.20,6.60
10,2024,11,13.20,6.60
11,2024,11,13.20,6.60
12,2024,11,13.20,6.60
1,2025,11,13.50,6.75
2,2025,11,13.50,6.75
3,2025,11,13.50,6.75
4,2025,11,13.50,6.75
5,2025,11,13.50,6.75
6,2025,11,13.50,6.75
